"name","rarity","level","power","range","limit_type","ammo/heat_rate","type","focus","asl","sub_weapon"
"ガンダム用ビーム・ライフル",3,1,1575,400,"heat",55,"beam","○","×",""
"クロー・バイス・ビーム",1,3,990,310,"heat",40,"beam","×","×",""
"クロー・バイス・ビーム",1,2,945,305,"heat",40,"beam","×","×",""
"クロー・バイス・ビーム",1,1,900,300,"heat",40,"beam","×","×",""
"ゲルググ用ビーム・ライフル",3,4,2300,415,"heat",60,"beam","○","×",""
"ゲルググ用ビーム・ライフル",3,3,2200,410,"heat",60,"beam","○","×",""
"ゲルググ用ビーム・ライフル",3,2,2100,405,"heat",60,"beam","○","×",""
"ゲルググ用ビーム・ライフル",3,1,2000,400,"heat",60,"beam","○","×",""
"ザク・バズーカ",2,5,1500,395,"bullet",10,"ammo","×","×",""
"ザク・バズーカ",2,4,1437,390,"bullet",10,"ammo","×","×",""
"ザク・バズーカ",2,3,1375,385,"bullet",10,"ammo","×","×",""
"ザク・バズーカ",2,2,1312,380,"bullet",10,"ammo","×","×",""
"ザク・バズーカ",2,1,1250,375,"bullet",10,"ammo","×","×",""
"ザク・バズーカ[最初期型]",1,5,1554,320,"bullet",3,"ammo","×","×",""
"ザク・バズーカ[最初期型]",1,4,1489,315,"bullet",3,"ammo","×","×",""
"ザク・バズーカ[最初期型]",1,3,1424,310,"bullet",3,"ammo","×","×",""
"ザク・バズーカ[最初期型]",1,2,1359,305,"bullet",3,"ammo","×","×",""
"ザク・バズーカ[最初期型]",1,1,1295,300,"bullet",3,"ammo","×","×",""
"ザク・マシンガン",1,5,207,250,"bullet",44,"ammo","×","○",""
"ザク・マシンガン",1,4,198,250,"bullet",43,"ammo","×","○",""
"ザク・マシンガン",1,3,190,250,"bullet",42,"ammo","×","○",""
"ザク・マシンガン",1,2,181,250,"bullet",41,"ammo","×","○",""
"ザク・マシンガン",1,1,173,250,"bullet",40,"ammo","×","○",""
"ザク・マシンガン[中期型]",1,3,220,250,"bullet",32,"ammo","×","○",""
"ザク・マシンガン[中期型]",1,2,210,250,"bullet",31,"ammo","×","○",""
"ザク・マシンガン[中期型]",1,1,200,250,"bullet",30,"ammo","×","○",""
"ザク・マシンガン[最初期型]",1,5,153,200,"bullet",44,"ammo","×","○",""
"ザク・マシンガン[最初期型]",1,4,147,200,"bullet",43,"ammo","×","○",""
"ザク・マシンガン[最初期型]",1,3,140,200,"bullet",42,"ammo","×","○",""
"ザク・マシンガン[最初期型]",1,2,134,200,"bullet",41,"ammo","×","○",""
"ザク・マシンガン[最初期型]",1,1,128,200,"bullet",40,"ammo","×","○",""
"ザク・マシンガン[長銃身タイプ]",2,3,412,410,"bullet",18,"ammo","×","○",""
"ザク・マシンガン[長銃身タイプ]",2,2,393,405,"bullet",18,"ammo","×","○",""
"ザク・マシンガン[長銃身タイプ]",2,1,375,400,"bullet",18,"ammo","×","○",""
"シェキナー[ガトリング]",2,2,137,250,"bullet",62,"ammo","×","○","シェキナー[ミサイル・ランチャー]\nシェキナー[メガ・ビーム]"
"シェキナー[ガトリング]",2,1,130,250,"bullet",60,"ammo","×","○","シェキナー[ミサイル・ランチャー]\nシェキナー[メガ・ビーム]"
"ショットガン",2,4,201,150,"bullet",3,"ammo","×","×",""
"ショットガン",2,3,192,150,"bullet",3,"ammo","×","×",""
"ショットガン",2,2,183,150,"bullet",3,"ammo","×","×",""
"ショットガン",2,1,175,150,"bullet",3,"ammo","×","×",""
"ショート・ビーム・ライフル",2,2,1680,255,"heat",75,"beam","×","×",""
"ショート・ビーム・ライフル",2,1,1600,250,"heat",75,"beam","×","×",""
"ジム・ライフル",2,3,186,325,"bullet",32,"ammo","×","○",""
"ジム・ライフル",2,2,178,325,"bullet",31,"ammo","×","○",""
"ジム・ライフル",2,1,170,325,"bullet",30,"ammo","×","○",""
"ジャイアント・バズ",2,4,1840,340,"bullet",6,"ammo","×","×",""
"ジャイアント・バズ",2,3,1760,335,"bullet",6,"ammo","×","×",""
"ジャイアント・バズ",2,2,1680,330,"bullet",6,"ammo","×","×",""
"ジャイアント・バズ",2,1,1600,325,"bullet",6,"ammo","×","×",""
"ジャイアント・バズ(布付き)",2,2,1785,305,"bullet",5,"ammo","×","×",""
"ジャイアント・バズ(布付き)",2,1,1700,300,"bullet",5,"ammo","×","×",""
"ニードル・ミサイル",1,3,138,260,"bullet",30,"ammo","×","×",""
"ニードル・ミサイル",1,2,131,255,"bullet",30,"ammo","×","×",""
"ニードル・ミサイル",1,1,125,250,"bullet",30,"ammo","×","×",""
"ハイパー・バズーカ",2,5,1500,395,"bullet",10,"ammo","×","×",""
"ハイパー・バズーカ",2,4,1437,390,"bullet",10,"ammo","×","×",""
"ハイパー・バズーカ",2,3,1375,385,"bullet",10,"ammo","×","×",""
"ハイパー・バズーカ",2,2,1312,380,"bullet",10,"ammo","×","×",""
"ハイパー・バズーカ",2,1,1250,375,"bullet",10,"ammo","×","×",""
"ハイパー・バズーカ[改良型]",1,3,1650,385,"bullet",12,"ammo","×","×",""
"ハイパー・バズーカ[改良型]",1,2,1575,380,"bullet",12,"ammo","×","×",""
"ハイパー・バズーカ[改良型]",1,1,1500,375,"bullet",12,"ammo","×","×",""
"ハイパー・バズーカｘ２",3,3,990,360,"bullet",20,"ammo","×","×",""
"ハイパー・バズーカｘ２",3,2,945,355,"bullet",20,"ammo","×","×",""
"ハイパー・バズーカｘ２",3,1,900,350,"bullet",20,"ammo","×","×",""
"ハイパー・ビーム・ライフル",2,2,1890,405,"heat",55,"beam","○","×",""
"ハイパー・ビーム・ライフル",2,1,1800,400,"heat",55,"beam","○","×",""
"ビーム・ガン",1,4,954,315,"heat",50,"beam","×","○",""
"ビーム・ガン",1,3,913,310,"heat",50,"beam","×","○",""
"ビーム・ガン",1,2,871,305,"heat",50,"beam","×","○",""
"ビーム・ガン",1,1,830,300,"heat",50,"beam","×","○",""
"ビーム・スナイパー・ライフル",2,3,1825,860,"heat",80,"beam","×","×",""
"ビーム・スナイパー・ライフル",2,2,1787,855,"heat",80,"beam","×","×",""
"ビーム・スナイパー・ライフル",2,1,1750,850,"heat",80,"beam","×","×",""
"ビーム・スプレーガン",1,5,670,220,"heat",25,"beam","×","○",""
"ビーム・スプレーガン",1,4,642,215,"heat",25,"beam","×","○",""
"ビーム・スプレーガン",1,3,614,210,"heat",25,"beam","×","○",""
"ビーム・スプレーガン",1,2,586,205,"heat",25,"beam","×","○",""
"ビーム・スプレーガン",1,1,559,200,"heat",25,"beam","×","○",""
"ビーム・バズーカ",3,2,2467,405,"heat",85,"beam","○","×",""
"ビーム・バズーカ",3,1,2350,400,"heat",85,"beam","○","×",""
"ビーム・バズーカ[改修型]",3,2,2310,355,"heat",85,"beam","×","×",""
"ビーム・バズーカ[改修型]",3,1,2200,350,"heat",85,"beam","×","×",""
"ビーム・マシンガン",2,3,550,510,"heat",15,"beam","○","×",""
"ビーム・マシンガン",2,2,525,505,"heat",15,"beam","○","×",""
"ビーム・マシンガン",2,1,500,500,"heat",15,"beam","○","×",""
"ビーム・ライフル[軽装型]",1,5,996,270,"heat",35,"beam","×","○",""
"ビーム・ライフル[軽装型]",1,4,954,265,"heat",35,"beam","×","○",""
"ビーム・ライフル[軽装型]",1,3,913,260,"heat",35,"beam","×","○",""
"ビーム・ライフル[軽装型]",1,2,871,255,"heat",35,"beam","×","○",""
"ビーム・ライフル[軽装型]",1,1,830,250,"heat",35,"beam","×","○",""
"フィンガー・バルカン",1,4,132,200,"bullet",38,"ammo","×","○",""
"フィンガー・バルカン",1,3,126,200,"bullet",37,"ammo","×","○",""
"フィンガー・バルカン",1,2,120,200,"bullet",36,"ammo","×","○",""
"フィンガー・バルカン",1,1,115,200,"bullet",35,"ammo","×","○",""
"フォールディング・バズーカ",2,1,1800,375,"bullet",10,"ammo","×","×",""
"フレーム・ランチャー[GT]",2,2,116,300,"bullet",90,"ammo","×","○","フレームランチャー[MP]"
"フレーム・ランチャー[GT]",2,1,110,300,"bullet",90,"ammo","×","○","フレームランチャー[MP]"
"ブルパップ・マシンガン",1,5,175,200,"bullet",39,"ammo","×","○",""
"ブルパップ・マシンガン",1,4,167,200,"bullet",38,"ammo","×","○",""
"ブルパップ・マシンガン",1,3,160,200,"bullet",37,"ammo","×","○",""
"ブルパップ・マシンガン",1,2,153,200,"bullet",36,"ammo","×","○",""
"ブルパップ・マシンガン",1,1,146,200,"bullet",35,"ammo","×","○",""
"ブーメラン・カッター",2,3,400,310,"bullet",10,"ammo","×","×",""
"ブーメラン・カッター",2,2,350,305,"bullet",10,"ammo","×","×",""
"ブーメラン・カッター",2,1,300,300,"bullet",10,"ammo","×","×",""
"ヘビー・ライフル",2,2,1470,330,"heat",50,"beam","○","×",""
"ヘビー・ライフル",2,1,1400,325,"heat",50,"beam","○","×",""
"マゼラ・トップ砲",2,3,1787,510,"bullet",6,"ammo","×","×",""
"マゼラ・トップ砲",2,2,1706,505,"bullet",6,"ammo","×","×",""
"マゼラ・トップ砲",2,1,1625,500,"bullet",6,"ammo","×","×",""
"マゼラ・トップ砲[試作型]",2,3,1650,410,"bullet",5,"ammo","×","×",""
"マゼラ・トップ砲[試作型]",2,2,1575,405,"bullet",5,"ammo","×","×",""
"マゼラ・トップ砲[試作型]",2,1,1500,400,"bullet",5,"ammo","×","×",""
"マドロック用ビーム・ライフル",2,2,1350,455,"heat",45,"beam","×","×",""
"マドロック用ビーム・ライフル",2,1,1300,450,"heat",45,"beam","×","×",""
"ミサイル・ランチャー",2,4,1610,315,"bullet",6,"ammo","×","×",""
"ミサイル・ランチャー",2,3,1540,310,"bullet",6,"ammo","×","×",""
"ミサイル・ランチャー",2,2,1470,305,"bullet",6,"ammo","×","×",""
"ミサイル・ランチャー",2,1,1400,300,"bullet",6,"ammo","×","×",""
"ラケーテン・バズ",2,2,1732,305,"bullet",5,"ammo","×","×",""
"ラケーテン・バズ",2,1,1650,300,"bullet",5,"ammo","×","×",""
"レール・キャノン[MP装備]",2,3,1872,410,"bullet",5,"ammo","×","×","ＲＣ付属ミサイルポッド"
"レール・キャノン[MP装備]",2,2,1836,405,"bullet",5,"ammo","×","×","ＲＣ付属ミサイルポッド"
"レール・キャノン[MP装備]",2,1,1800,400,"bullet",5,"ammo","×","×","ＲＣ付属ミサイルポッド"
"ロケット・バズーカ",1,2,1470,355,"bullet",8,"ammo","×","×",""
"ロケット・バズーカ",1,1,1400,350,"bullet",8,"ammo","×","×",""
"ロケット・バズーカｘ２",2,2,1050,305,"bullet",12,"ammo","×","×",""
"ロケット・バズーカｘ２",2,1,1000,300,"bullet",12,"ammo","×","×",""
"ロケット・ランチャー",2,5,1800,345,"bullet",6,"ammo","×","×",""
"ロケット・ランチャー",2,4,1725,340,"bullet",6,"ammo","×","×",""
"ロケット・ランチャー",2,3,1650,335,"bullet",6,"ammo","×","×",""
"ロケット・ランチャー",2,2,1575,330,"bullet",6,"ammo","×","×",""
"ロケット・ランチャー",2,1,1500,325,"bullet",6,"ammo","×","×",""
"ロングレンジ・ビーム・ライフル",2,3,1650,860,"heat",85,"beam","×","×",""
"ロングレンジ・ビーム・ライフル",2,2,1575,855,"heat",85,"beam","×","×",""
"ロングレンジ・ビーム・ライフル",2,1,1500,850,"heat",85,"beam","×","×",""
"初期試作型ビーム・ライフル",3,3,5750,210,"heat",100,"beam","◎","×",""
"初期試作型ビーム・ライフル",3,2,5500,205,"heat",100,"beam","◎","×",""
"初期試作型ビーム・ライフル",3,1,5250,200,"heat",100,"beam","◎","×",""
"大口径頭部バルカンｘ４",1,4,46,300,"bullet",66,"ammo","×","○",""
"大口径頭部バルカンｘ４",1,3,44,300,"bullet",64,"ammo","×","○",""
"大口径頭部バルカンｘ４",1,2,42,300,"bullet",62,"ammo","×","○",""
"大口径頭部バルカンｘ４",1,1,40,300,"bullet",60,"ammo","×","○",""
"大型ガトリング砲",1,2,157,300,"bullet",25,"ammo","×","○",""
"大型ガトリング砲",1,1,150,300,"bullet",24,"ammo","×","○",""
"寒冷地用マシンガン[GN装備]",2,3,148,175,"bullet",42,"ammo","×","○","寒冷地用マシンガン付属グレネード"
"寒冷地用マシンガン[GN装備]",2,2,141,175,"bullet",41,"ammo","×","○","寒冷地用マシンガン付属グレネード"
"寒冷地用マシンガン[GN装備]",2,1,135,175,"bullet",40,"ammo","×","○","寒冷地用マシンガン付属グレネード"
"専用ザク・マシンガンｘ２",2,2,137,250,"bullet",63,"ammo","×","○",""
"専用ザク・マシンガンｘ２",2,1,130,250,"bullet",60,"ammo","×","○",""
"特殊ハンマー・ガン",2,3,3300,150,"bullet",1,"ammo","×","×",""
"特殊ハンマー・ガン",2,2,3150,150,"bullet",1,"ammo","×","×",""
"特殊ハンマー・ガン",2,1,3000,150,"bullet",1,"ammo","×","×",""
"簡略式ミサイル・ランチャー",2,3,935,410,"bullet",4,"ammo","×","×",""
"簡略式ミサイル・ランチャー",2,2,892,405,"bullet",4,"ammo","×","×",""
"簡略式ミサイル・ランチャー",2,1,850,400,"bullet",4,"ammo","×","×",""
"胸部４連装メガ粒子砲",2,2,305,505,"heat",40,"beam","○","×",""
"胸部４連装メガ粒子砲",2,1,300,500,"heat",40,"beam","○","×",""
"腕部３連装ガトリング",1,3,143,200,"bullet",32,"ammo","×","○",""
"腕部３連装ガトリング",1,2,136,200,"bullet",31,"ammo","×","○",""
"腕部３連装ガトリング",1,1,130,200,"bullet",30,"ammo","×","○",""
"腕部４０ｍｍバルカン砲",1,3,143,200,"bullet",42,"ammo","×","○",""
"腕部４０ｍｍバルカン砲",1,2,136,200,"bullet",41,"ammo","×","○",""
"腕部４０ｍｍバルカン砲",1,1,130,200,"bullet",40,"ammo","×","○",""
"腹部２連装メガ粒子砲","",2,675,255,"heat",80,"beam","×","×",""
"腹部２連装メガ粒子砲","",1,650,250,"heat",80,"beam","×","×",""
"試作大型ビーム・ライフル",3,1,1500,600,"heat",35,"beam","○","×",""
"試作１号機用ビーム・ライフル",3,1,1800,400,"bullet",5,"beam","×","×",""
"試作２号機用MLRS",3,1,1200,550,"bullet",6,"ammo","×","×","試作２号機用MLRS[垂直発射]"
"試作２号機用ビーム・バズーカ",3,1,2500,350,"heat",90,"beam","○","×",""
"試作４号機用Ｌ・レンジ・ライフル","",1,2000,700,"heat",80,"beam","×","×",""
"試作５連装メガ粒子砲ｘ２",2,2,175,405,"heat",40,"beam","○","×",""
"試作５連装メガ粒子砲ｘ２",2,1,150,400,"heat",40,"beam","○","×",""
"陸戦型ガンダム用ビーム・ライフル",2,4,1380,415,"heat",50,"beam","○","×",""
"陸戦型ガンダム用ビーム・ライフル",2,3,1320,410,"heat",50,"beam","○","×",""
"陸戦型ガンダム用ビーム・ライフル",2,2,1260,405,"heat",50,"beam","○","×",""
"陸戦型ガンダム用ビーム・ライフル",2,1,1200,400,"heat",50,"beam","○","×",""
"陸戦型Ｇ用試作ビーム・ライフル",2,2,1890,550,"heat",60,"beam","○","×",""
"陸戦型Ｇ用試作ビーム・ライフル",2,1,1800,550,"heat",60,"beam","○","×",""
"高機動型Ｇ用ロケット・ランチャー",2,3,1650,310,"bullet",6,"ammo","×","×",""
"高機動型Ｇ用ロケット・ランチャー",2,2,1575,305,"bullet",6,"ammo","×","×",""
"高機動型Ｇ用ロケット・ランチャー",2,1,1500,300,"bullet",6,"ammo","×","×",""
"１００ｍｍマシンガン",1,5,177,250,"bullet",44,"ammo","×","○",""
"１００ｍｍマシンガン",1,4,170,250,"bullet",43,"ammo","×","○",""
"１００ｍｍマシンガン",1,3,162,250,"bullet",42,"ammo","×","○",""
"１００ｍｍマシンガン",1,2,155,250,"bullet",41,"ammo","×","○",""
"１００ｍｍマシンガン",1,1,148,250,"bullet",40,"ammo","×","○",""
"１００ｍｍマシンガン[改良型]",1,3,189,250,"bullet",42,"ammo","×","○",""
"１００ｍｍマシンガン[改良型]",1,2,180,250,"bullet",41,"ammo","×","○",""
"１００ｍｍマシンガン[改良型]",1,1,172,250,"bullet",40,"ammo","×","○",""
"１００ｍｍマシンガンｘ２",2,3,143,250,"bullet",44,"ammo","×","○",""
"１００ｍｍマシンガンｘ２",2,2,136,250,"bullet",42,"ammo","×","○",""
"１００ｍｍマシンガンｘ２",2,1,130,250,"bullet",40,"ammo","×","○",""
"１２０ｍｍマシンガン",1,3,160,350,"bullet",32,"ammo","×","○",""
"１２０ｍｍマシンガン",1,2,155,350,"bullet",31,"ammo","×","○",""
"１２０ｍｍマシンガン",1,1,150,350,"bullet",30,"ammo","×","○",""
"１３５ｍｍ対艦ライフル",2,4,2701,465,"bullet",3,"ammo","×","×",""
"１３５ｍｍ対艦ライフル",2,3,2584,460,"bullet",3,"ammo","×","×",""
"１３５ｍｍ対艦ライフル",2,2,2467,455,"bullet",3,"ammo","×","×",""
"１３５ｍｍ対艦ライフル",2,1,2350,450,"bullet",3,"ammo","×","×",""
"１８０ｍｍキャノン",2,4,2070,615,"bullet",6,"ammo","×","×",""
"１８０ｍｍキャノン",2,3,1980,610,"bullet",6,"ammo","×","×",""
"１８０ｍｍキャノン",2,2,1890,605,"bullet",6,"ammo","×","×",""
"１８０ｍｍキャノン",2,1,1800,600,"bullet",6,"ammo","×","×",""
"２連装ビームガン",2,3,1045,210,"heat",35,"beam","×","○",""
"２連装ビームガン",2,2,997,205,"heat",35,"beam","×","○",""
"２連装ビームガン",2,1,950,200,"heat",35,"beam","×","○",""
"２連装ビーム・ライフル",3,2,1050,505,"heat",45,"beam","×","×",""
"２連装ビーム・ライフル",3,1,1000,500,"heat",45,"beam","×","×",""
"２連装ビーム・ライフル[TB]",3,2,945,355,"heat",40,"beam","×","×",""
"２連装ビーム・ライフル[TB]",3,1,900,350,"heat",40,"beam","×","×",""
"２８０ｍｍバズーカ",1,3,1540,335,"bullet",6,"ammo","×","×",""
"２８０ｍｍバズーカ",1,2,1470,330,"bullet",6,"ammo","×","×",""
"２８０ｍｍバズーカ",1,1,1400,325,"bullet",6,"ammo","×","×",""
"３連装ロケット・ランチャーｘ２",2,3,400,460,"bullet",12,"ammo","×","×",""
"３連装ロケット・ランチャーｘ２",2,2,375,455,"bullet",12,"ammo","×","×",""
"３連装ロケット・ランチャーｘ２",2,1,350,450,"bullet",12,"ammo","×","×",""
"４連装ガン・ランチャーｘ２",1,4,92,415,"bullet",24,"ammo","×","×",""
"４連装ガン・ランチャーｘ２",1,3,88,410,"bullet",24,"ammo","×","×",""
"４連装ガン・ランチャーｘ２",1,2,84,405,"bullet",24,"ammo","×","×",""
"４連装ガン・ランチャーｘ２",1,1,80,400,"bullet",24,"ammo","×","×",""
"４連装ボップ・ガン",2,2,110,300,"bullet",51,"ammo","×","×",""
"４連装ボップ・ガン",2,1,100,300,"bullet",50,"ammo","×","×",""
"４連装ボップ・ミサイルｘ２",1,3,99,460,"bullet",24,"ammo","×","×",""
"４連装ボップ・ミサイルｘ２",1,2,94,455,"bullet",24,"ammo","×","×",""
"４連装ボップ・ミサイルｘ２",1,1,90,450,"bullet",24,"ammo","×","×",""
"４連装１２０ｍｍ砲",2,3,110,350,"bullet",62,"ammo","×","○",""
"４連装１２０ｍｍ砲",2,2,105,350,"bullet",61,"ammo","×","○",""
"４連装１２０ｍｍ砲",2,1,100,350,"bullet",60,"ammo","×","○",""
"５連装メガ粒子砲ｘ２",2,1,200,300,"heat",65,"beam","○","×",""
"５連装メガ粒子砲ｘ２[低出力]",2,2,210,205,"heat",40,"beam","×","×",""
"５連装メガ粒子砲ｘ２[低出力]",2,1,200,200,"heat",40,"beam","×","×",""
"７５ｍｍスナイパー・ライフル",2,2,1760,805,"bullet",6,"ammo","×","×",""
"７５ｍｍスナイパー・ライフル",2,1,1600,800,"bullet",6,"ammo","×","×",""
"８連装ミサイル・ランチャー",3,2,157,405,"bullet",24,"ammo","×","×",""
"８連装ミサイル・ランチャー",3,1,150,400,"bullet",24,"ammo","×","×",""
"９０ｍｍサブマシンガンｘ２",2,3,110,100,"bullet",44,"ammo","×","○",""
"９０ｍｍサブマシンガンｘ２",2,2,105,100,"bullet",42,"ammo","×","○",""
"９０ｍｍサブマシンガンｘ２",2,1,100,100,"bullet",40,"ammo","×","○",""
"９５ｍｍ狙撃ライフル",2,2,2100,555,"bullet",3,"ammo","×","×",""
"９５ｍｍ狙撃ライフル",2,1,2000,550,"bullet",3,"ammo","×","×",""
"Ｅ－２ビーム・スプレーガン",1,3,1100,310,"heat",65,"beam","×","○",""
"Ｅ－２ビーム・スプレーガン",1,2,1050,305,"heat",65,"beam","×","○",""
"Ｅ－２ビーム・スプレーガン",1,1,1000,300,"heat",65,"beam","×","○",""
"Ｇガンダム用ビーム・ライフル",2,1,1000,500,"heat",75,"beam","○","×",""
"Ｇ・テトラ用ビーム・マシンガン",2,1,500,300,"heat",10,"beam","○","×",""
"ＧＤ用ビーム・ライフル[SN]",3,4,1782,415,"heat",55,"beam","○","×","Ｂライフル付属スーパー・ナパーム"
"ＧＤ用ビーム・ライフル[SN]",3,3,1705,410,"heat",55,"beam","○","×","Ｂライフル付属スーパー・ナパーム"
"ＧＤ用ビーム・ライフル[SN]",3,2,1627,405,"heat",55,"beam","○","×","Ｂライフル付属スーパー・ナパーム"
"ＧＤ用ビーム・ライフル[SN]",3,1,1550,400,"heat",55,"beam","○","×","Ｂライフル付属スーパー・ナパーム"
"ＧＭ指揮官用ビーム・ライフル",2,2,420,355,"heat",11,"beam","○","×",""
"ＧＭ指揮官用ビーム・ライフル",2,1,400,350,"heat",11,"beam","○","×",""
"ＧＲ型用ビーム・ライフル[GN]",2,2,1785,355,"heat",55,"beam","○","×","ＧＲ型用Ｂ・ライフル直結状態"
"ＧＲ型用ビーム・ライフル[GN]",2,1,1700,350,"heat",55,"beam","○","×","ＧＲ型用Ｂ・ライフル直結状態"
"ＨＧ用ビーム・カノン",1,2,420,305,"heat",25,"beam","×","×",""
"ＨＧ用ビーム・カノン",1,1,400,300,"heat",25,"beam","×","×",""
"Ｌ・ビーム・ライフル[改修型]",3,2,1680,505,"heat",55,"beam","○","×",""
"Ｌ・ビーム・ライフル[改修型]",3,1,1600,500,"heat",55,"beam","○","×",""
"ＭＭＰ－７８マシンガン[GN]",1,4,198,250,"bullet",53,"ammo","×","○","ＭＭＰ－７８付属グレネード"
"ＭＭＰ－７８マシンガン[GN]",1,3,190,250,"bullet",52,"ammo","×","○","ＭＭＰ－７８付属グレネード"
"ＭＭＰ－７８マシンガン[GN]",1,2,181,250,"bullet",51,"ammo","×","○","ＭＭＰ－７８付属グレネード"
"ＭＭＰ－７８マシンガン[GN]",1,1,173,250,"bullet",50,"ammo","×","○","ＭＭＰ－７８付属グレネード"
"ＭＭＰ－７８ＧＮ[対空砲弾]",1,3,850,360,"bullet",6,"ammo","×","○","ＭＭＰ－７８付属グレネード"
"ＭＭＰ－７８ＧＮ[対空砲弾]",1,2,800,355,"bullet",6,"ammo","×","○","ＭＭＰ－７８付属グレネード"
"ＭＭＰ－７８ＧＮ[対空砲弾]",1,1,750,350,"bullet",6,"ammo","×","○","ＭＭＰ－７８付属グレネード"
"ＭＭＰ－８０マシンガン",2,5,175,200,"bullet",39,"ammo","×","○",""
"ＭＭＰ－８０マシンガン",2,4,167,200,"bullet",38,"ammo","×","○",""
"ＭＭＰ－８０マシンガン",2,3,160,200,"bullet",37,"ammo","×","○",""
"ＭＭＰ－８０マシンガン",2,2,153,200,"bullet",36,"ammo","×","○",""
"ＭＭＰ－８０マシンガン",2,1,146,200,"bullet",35,"ammo","×","○",""
"ＭＭＰ－８０マシンガン[GN]",2,4,166,200,"bullet",38,"ammo","×","○","ＭＭＰ－８０付属グレネード"
"ＭＭＰ－８０マシンガン[GN]",2,3,159,200,"bullet",37,"ammo","×","○","ＭＭＰ－８０付属グレネード"
"ＭＭＰ－８０マシンガン[GN]",2,2,152,200,"bullet",36,"ammo","×","○","ＭＭＰ－８０付属グレネード"
"ＭＭＰ－８０マシンガン[GN]",2,1,146,200,"bullet",35,"ammo","×","○","ＭＭＰ－８０付属グレネード"
"ＭＭＰ－８０マシンガンｘ２",1,3,96,400,"bullet",37,"ammo","×","○",""
"ＭＭＰ－８０マシンガンｘ２",1,2,92,400,"bullet",36,"ammo","×","○",""
"ＭＭＰ－８０マシンガンｘ２",1,1,88,400,"bullet",35,"ammo","×","○",""
"Ｐガンダム用ビーム・ライフル",2,3,1375,310,"heat",45,"beam","×","×",""
"Ｐガンダム用ビーム・ライフル",2,2,1312,305,"heat",45,"beam","×","×",""
"Ｐガンダム用ビーム・ライフル",2,1,1250,300,"heat",45,"beam","×","×",""
"Ｒ・ＤII用ジャイアント・バズ",1,2,1995,355,"bullet",4,"ammo","×","×",""
"Ｒ・ＤII用ジャイアント・バズ",1,1,1900,350,"bullet",4,"ammo","×","×",""
"Ｒ－４タイプ・ビーム・ライフル",2,3,2200,660,"heat",65,"beam","○","×",""
"Ｒ－４タイプ・ビーム・ライフル",2,2,2100,655,"heat",65,"beam","○","×",""
"Ｒ－４タイプ・ビーム・ライフル",2,1,2000,650,"heat",65,"beam","○","×",""
"ＺＥ用ビーム・カノン",1,3,880,310,"heat",40,"beam","×","×",""
